date,day_of_week,day_name,week_of_year,month,month_name,quarter,year,day_of_month,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,holiday_name,holiday_flag,holiday_type,days_to_holiday,days_from_holiday,promotion_event,major_event_flag,temperature_c,rainfall_mm,humidity_pct,weather_condition,inflation_index,consumer_confidence_index,unemployment_rate,fuel_price_index,marketing_campaign,campaign_type,campaign_intensity,digital_ad_spend,offline_ad_spend,campaign_active_flag
2021-01-01,5,Friday,53,1,January,1,2021,1,False,True,False,True,False,New Year,True,National,0.0,0.0,,False,14.4,0.0,64.8,Cold,5.59,99.96,7.19,100.03,,,,138822.65,77842.3,False
2021-01-02,6,Saturday,53,1,January,1,2021,2,True,False,False,False,False,,False,,24.0,1.0,End of Season Sale - Winter,False,12.2,0.0,54.2,Cold,5.6,99.93,7.19,100.06,End of Season Sale - Winter,Clearance,Medium,346261.87,159265.85,True
2021-01-03,7,Sunday,53,1,January,1,2021,3,True,False,False,False,False,,False,,23.0,2.0,End of Season Sale - Winter,False,12.7,0.0,48.0,Cold,5.57,99.99,7.18,99.95,End of Season Sale - Winter,Clearance,Medium,302020.55,155687.43,True
2021-01-04,1,Monday,1,1,January,1,2021,4,False,False,False,False,False,,False,,22.0,3.0,End of Season Sale - Winter,False,11.8,0.0,55.3,Cold,5.59,,7.18,99.97,End of Season Sale - Winter,Clearance,Medium,267061.95,122849.89,True
2021-01-05,2,Tuesday,1,1,January,1,2021,5,False,False,False,False,False,,False,,21.0,4.0,End of Season Sale - Winter,False,13.3,0.0,53.3,Cold,5.57,100.01,7.18,100.04,End of Season Sale - Winter,Clearance,Medium,225023.8,119053.06,True
2021-01-06,3,Wednesday,1,1,January,1,2021,6,False,False,False,False,False,,False,,20.0,5.0,End of Season Sale - Winter,False,12.7,0.0,56.0,Cold,5.59,99.9,7.19,100.09,End of Season Sale - Winter,Clearance,Medium,265174.91,130217.92,True
2021-01-07,4,Thursday,1,1,January,1,2021,7,False,False,False,False,False,,False,,19.0,6.0,End of Season Sale - Winter,False,14.4,0.0,59.9,Cold,5.6,99.64,7.2,100.07,End of Season Sale - Winter,Clearance,Medium,268411.98,121389.85,True
2021-01-08,5,Friday,1,1,January,1,2021,8,False,False,False,False,False,,False,,18.0,7.0,End of Season Sale - Winter,False,14.5,0.0,63.4,Cold,5.58,99.73,7.2,100.1,End of Season Sale - Winter,Clearance,Medium,241041.41,137405.12,True
2021-01-09,6,Saturday,1,1,January,1,2021,9,True,False,False,False,False,,False,,17.0,8.0,End of Season Sale - Winter,False,15.3,4.8,69.3,Light Rain,5.55,99.86,7.2,100.09,End of Season Sale - Winter,Clearance,Medium,296820.05,178972.05,True
2021-01-10,7,Sunday,1,1,January,1,2021,10,True,False,False,False,False,,False,,16.0,9.0,End of Season Sale - Winter,False,13.7,0.0,65.4,Cold,5.52,99.81,7.19,100.11,End of Season Sale - Winter,Clearance,Medium,364888.13,189318.01,True
2021-01-11,1,Monday,2,1,January,1,2021,11,False,False,False,False,False,,False,,15.0,10.0,End of Season Sale - Winter,False,11.9,0.0,60.6,Cold,5.55,99.88,7.18,100.13,End of Season Sale - Winter,Clearance,Medium,251651.0,123860.72,True
2021-01-12,2,Tuesday,2,1,January,1,2021,12,False,False,False,False,False,,False,,14.0,11.0,End of Season Sale - Winter,False,12.0,0.0,57.5,Cold,5.55,99.84,7.17,100.1,End of Season Sale - Winter,Clearance,Medium,277335.44,123999.14,True
2021-01-13,3,Wednesday,2,1,January,1,2021,13,False,False,False,False,False,,False,,13.0,12.0,End of Season Sale - Winter,False,11.2,0.0,59.2,Cold,5.59,99.85,7.16,100.01,End of Season Sale - Winter,Clearance,Medium,279800.61,152979.87,True
2021-01-14,4,Thursday,2,1,January,1,2021,14,False,False,False,False,False,,False,,12.0,13.0,End of Season Sale - Winter,False,11.4,4.6,52.8,Light Rain,5.58,99.88,7.17,100.01,End of Season Sale - Winter,Clearance,Medium,271297.11,121591.17,True
2021-01-15,5,Friday,2,1,January,1,2021,15,False,False,False,False,False,,False,,11.0,14.0,End of Season Sale - Winter,False,13.0,0.0,43.4,Cold,5.6,99.79,7.18,100.04,End of Season Sale - Winter,Clearance,Medium,279767.86,134524.52,True
2021-01-16,6,Saturday,2,1,January,1,2021,16,True,False,False,False,False,,False,,10.0,15.0,,False,14.9,0.0,49.4,Cold,5.58,99.72,7.17,100.01,,,,177500.64,93396.76,False
2021-01-17,7,Sunday,2,1,January,1,2021,17,True,False,False,False,False,,False,,9.0,16.0,,False,14.7,0.0,54.4,Cold,5.59,99.88,7.17,99.97,,,,160458.03,117143.07,False
2021-01-18,1,Monday,3,1,January,1,2021,18,False,False,False,False,False,,False,,8.0,17.0,,False,15.9,0.0,72.0,Pleasant,5.57,99.94,7.18,100.01,,,,151379.95,72121.57,False
2021-01-19,2,Tuesday,3,1,January,1,2021,19,False,False,False,False,False,,False,,7.0,18.0,,False,16.0,0.0,53.7,Pleasant,5.56,99.96,7.17,100.04,,,,157200.59,73241.27,False
2021-01-20,3,Wednesday,3,1,January,1,2021,20,False,False,False,False,False,,False,,6.0,19.0,Republic Day Sale,False,16.4,0.0,51.4,Pleasant,5.55,99.88,7.18,100.04,Republic Day Sale,National Sale,Medium,264207.12,112049.19,True
2021-01-21,4,Thursday,3,1,January,1,2021,21,False,False,False,False,False,,False,,5.0,20.0,Republic Day Sale,False,17.3,0.0,49.1,Pleasant,5.55,99.8,7.18,100.01,Republic Day Sale,National Sale,Medium,229540.97,117119.07,True
2021-01-22,5,Friday,3,1,January,1,2021,22,False,False,False,False,False,,False,,4.0,21.0,Republic Day Sale,False,18.5,0.0,45.7,Pleasant,5.55,99.57,7.2,99.92,Republic Day Sale,National Sale,Medium,262053.81,131708.07,True
2021-01-23,6,Saturday,3,1,January,1,2021,23,True,False,False,False,False,,False,,3.0,22.0,Republic Day Sale,False,16.1,0.0,63.0,Pleasant,5.56,99.6,7.21,99.93,Republic Day Sale,National Sale,Medium,333083.48,,True
2021-01-24,7,Sunday,3,1,January,1,2021,24,True,False,False,False,False,,False,,2.0,23.0,Republic Day Sale,False,16.9,0.0,61.3,Pleasant,5.55,99.44,7.21,100.03,Republic Day Sale,National Sale,Medium,349965.31,155038.73,True
2021-01-25,1,Monday,4,1,January,1,2021,25,False,False,False,False,False,,False,,1.0,24.0,Republic Day Sale,False,17.6,0.0,54.0,Pleasant,5.55,99.09,7.21,99.97,Republic Day Sale,National Sale,Medium,237354.63,110518.9,True
2021-01-26,2,Tuesday,4,1,January,1,2021,26,False,False,False,False,False,Republic Day,True,National,0.0,0.0,Republic Day Sale,False,15.5,5.7,54.8,Light Rain,5.57,99.05,7.19,99.98,Republic Day Sale,National Sale,Medium,261358.61,121499.53,True
2021-01-27,3,Wednesday,4,1,January,1,2021,27,False,False,False,False,False,,False,,18.0,1.0,Republic Day Sale,False,16.2,0.9,60.6,Pleasant,5.54,99.02,7.19,99.96,Republic Day Sale,National Sale,Medium,272732.18,144118.68,True
2021-01-28,4,Thursday,4,1,January,1,2021,28,False,False,False,False,False,,False,,17.0,2.0,,False,15.9,0.0,62.5,Pleasant,5.56,99.18,7.19,100.0,,,,182514.12,78438.49,False
2021-01-29,5,Friday,4,1,January,1,2021,29,False,False,False,False,False,,False,,16.0,3.0,,False,15.4,0.0,65.1,Pleasant,5.56,99.09,7.2,99.93,,,,150571.93,69830.16,False
