transaction_id,date,product_id,store_id,customer_segment_id,channel_id,units_sold,unit_price,gross_sales,discount_amount,net_sales,promotion_id,discount_percentage,inventory_available,stockout_flag,return_units,return_amount,true_demand_estimate
T000000001,2021-01-01,P001,S01,Occasional Shopper,Physical Store,311,12179.58,3887500.0,99650.62,3787849.38,,0.0,416.0,False,9,109616.22,311
T000000002,2021-01-01,P002,S01,Loyal Regular,Mobile App,152,179.39,27360.0,92.72,27267.28,,0.0,869.8,False,2,358.78,152
T000000003,2021-01-01,P003,S01,Loyal Regular,Mobile App,81,1787.69,145800.0,997.11,144802.89,,0.0,336.8,False,6,10726.14,81
T000000004,2021-01-01,P004,S01,Occasional Shopper,ONLINE,75,37841.06,2850000.0,11920.5,2838079.5,,0.0,154.9,False,2,75682.12,75
T000000005,2021-01-01,P005,S01,Value Seeker,Physical Store,32,5837.59,208000.0,21197.12,186802.88,Flash Discount,9.86,485.1,False,2,11675.18,32
T000000006,2021-01-01,P006,S01,Value Seeker,Online,36,654.16,23400.0,0.0,23400.0,,0.0,,False,0,0.0,36
T000000007,2021-01-01,P001,S02,Value Seeker,Physical Store,40,12619.16,500000.0,0.0,500000.0,,0.0,287.0,False,7,88334.12,40
T000000008,2021-01-01,P002,S02,Loyal Regular,Physical Store,145,185.56,26100.0,0.0,26100.0,,0.0,849.9,False,2,371.12,145
T000000009,2021-01-01,P003,S02,Occasional Shopper,Online,44,1832.38,79200.0,0.0,79200.0,,0.0,347.7,False,1,1832.38,44
T000000010,2021-01-01,P004,S02,Premium Buyer,Online,11,37978.25,418000.0,239.25,417760.75,,0.0,107.3,False,1,37978.25,11
T000000011,2021-01-01,P005,S02,Loyal Regular,Physical Store,30,6516.74,195000.0,0.0,195000.0,,0.0,397.2,False,2,13033.48,30
T000000012,2021-01-01,P006,S02,Premium Buyer,Mobile App,244,656.9,158600.0,0.0,158600.0,,0.0,1108.9,False,5,3284.5,244
T000000013,2021-01-01,P001,S03,Value Seeker,Online,32,12835.95,400000.0,0.0,400000.0,,0.0,292.8,False,4,51343.8,32
T000000014,2021-01-01,P002,S03,Premium Buyer,Physical Store,88,179.68,15840.0,28.16,15811.84,,0.0,1078.5,False,0,0.0,88
T000000015,2021-01-01,P003,S03,Budget Shopper,Online,37,1807.43,66600.0,0.0,66600.0,,0.0,271.0,False,6,10844.58,37
T000000016,2021-01-01,P004,S03,Loyal Regular,Physical Store,9,37934.51,342000.0,589.41,341410.59,,0.0,129.7,False,0,0.0,9
T000000017,2021-01-01,P005,S03,Occasional Shopper,Physical Store,31,6578.37,201500.0,0.0,201500.0,,0.0,480.7,False,4,26313.48,31
T000000018,2021-01-01,P006,S03,Budget Shopper,Physical Store,50,641.19,32500.0,440.5,32059.5,,0.0,1217.4,False,2,1282.38,50
T000000019,2021-01-01,P001,S04,Loyal Regular,Marketplace,111,12519.66,1387500.0,0.0,1387500.0,,0.0,398.9,False,6,75117.96,111
T000000020,2021-01-01,P002,S04,Loyal Regular,Physical Store,112,177.62,20160.0,266.56,19893.44,,0.0,935.8,False,0,0.0,112
T000000021,2021-01-01,P003,S04,Budget Shopper,Physical Store,51,1805.18,91800.0,0.0,91800.0,,0.0,314.6,False,12,21662.16,51
T000000022,2021-01-01,P004,S04,Budget Shopper,Physical Store,15,38310.38,570000.0,0.0,570000.0,,0.0,128.0,False,0,0.0,15
T000000023,2021-01-01,P005,S04,Value Seeker,Mobile App,30,6474.69,195000.0,759.3,194240.7,,0.0,330.1,False,1,6474.69,30
T000000024,2021-01-01,P006,S04,Value Seeker,Marketplace,113,648.56,73450.0,162.72,73287.28,,0.0,1262.2,False,3,1945.68,113
T000000025,2021-01-01,P001,S05,Premium Buyer,Marketplace,33,12644.27,412500.0,0.0,412500.0,,0.0,316.0,False,4,50577.08,33
T000000026,2021-01-01,P002,S05,,Physical Store,84,179.83,15120.0,14.28,15105.72,,0.0,905.4,False,0,0.0,84
T000000027,2021-01-01,P003,S05,Loyal Regular,Online,139,1810.42,250200.0,0.0,250200.0,,0.0,444.4,False,28,50691.76,139
T000000028,2021-01-01,P004,S05,Value Seeker,Online,5,37913.2,190000.0,434.0,189566.0,,0.0,114.8,False,0,0.0,5
T000000029,2021-01-01,P005,S05,Occasional Shopper,Marketplace,18,6440.01,117000.0,1079.82,115920.18,,0.0,327.9,False,1,6440.01,18
T000000030,2021-01-01,P006,S05,Premium Buyer,Online,84,647.37,54600.0,220.92,54379.08,,0.0,784.6,False,5,3236.85,84
